player,elo,hElo,cElo,gElo
Sandro Kopp,1365.4,1293.0,1371.7,1382.7
Aidan Mayo,1365.2,1345.6,1305.4,1388.8
Juan Manuel La Serna,1364.6,1322.8,1352.4,1382.3
Federico Arnaboldi,1363.6,1317.7,1322.1,1351.3
Martin Krumich,1362.6,1312.2,1323.9,1381.3
Niels Visker,1362.1,1360.2,1271.0,1381.0
Benoit Paire,1361.8,1335.7,1385.4,1412.0
Gabi Adrian Boitan,1360.0,1340.4,1341.3,1430.0
Daniel Milavsky,1357.1,1351.0,1271.8,1359.3
Keegan Smith,1354.0,1325.1,1220.1,1377.0
Luca Potenza,1352.0,1322.3,1307.5,1376.0
Alex Rybakov,1351.7,1309.8,1310.5,1397.0
Andres Martin,1351.1,1338.9,1329.0,1425.6
Maximus Jones,1351.1,1325.8,1318.0,1375.5
Nicolas Kicker,1350.0,1327.8,1340.7,1324.5
Giovanni Fonio,1349.0,1349.5,1319.4,1374.5
James Watt,1348.4,1331.9,1248.9,1406.7
Alexandr Binda,1346.0,1287.0,1331.8,1373.0
Philip Sekulic,1345.5,1315.3,1251.5,1334.6
Tai Sach,1343.4,1321.9,1281.7,1371.7
David Jorda Sanchis,1343.4,1233.4,1371.1,1332.8
Viktor Durasovic,1342.7,1340.5,1285.9,1315.0
Cannon Kingsley,1342.3,1344.5,1262.4,1371.1
Carlo Alberto Caniato,1341.2,1258.5,1359.9,1370.6
Daniel Dutra Da Silva,1340.5,1248.9,1324.2,1356.4
Henry Searle,1339.6,1303.9,1287.9,1346.2
Pietro Fellin,1338.7,1312.4,1264.8,1369.4
Olaf Pieczkowski,1338.4,1331.4,1329.4,1419.2
Mathys Erhard,1338.1,1326.5,1315.5,1369.1
Santiago Fa Rodriguez Taverna,1337.5,1289.5,1329.2,1355.5
Mae Malige,1336.9,1308.6,1229.1,1368.4
Garrett Johns,1336.2,1323.4,1291.1,1368.1
Francesco Forti,1333.4,1291.1,1301.6,1366.7
Eero Vasa,1331.4,1309.8,1303.0,1415.7
Corentin Denolly,1331.3,1271.4,1292.5,1352.3
Nicolas Alvarez Varona,1330.9,1370.7,1274.4,1365.5
Conner Huertas Del Pino,1329.1,1307.0,1306.4,1364.5
Jacopo Berrettini,1325.4,1257.8,1335.8,1362.7
Andrea Picchione,1324.4,1266.5,1305.2,1362.2
Lucas Poullain,1323.0,1299.9,1258.7,1361.5
Omar Jasika,1321.2,1298.1,1257.5,1255.1
Patrick Maloney,1320.7,1273.3,1322.0,1370.7
Thomas Faurel,1320.5,1284.2,1278.8,1360.3
Neil Oberleitner,1319.6,1286.4,1271.8,1359.8
Olle Wallin,1319.3,1287.9,1311.9,1359.7
Valerio Aboian,1319.3,1219.6,1311.9,1359.6
Johan Nikles,1318.7,1273.0,1306.1,1359.3
Max Alcala Gurri,1317.7,1256.2,1298.2,1358.9
Maxime Janvier,1317.0,1291.4,1283.1,1356.8
Federico Bondioli,1317.0,1211.5,1319.7,1358.5
Jelle Sels,1316.1,1334.8,1288.4,1254.4
Carlos Sanchez Jover,1313.6,1227.1,1295.2,1356.8
Dan Martin,1313.2,1276.1,1274.7,1328.7
Cruz Hewitt,1310.7,1292.5,1265.3,1355.3
Tsung Hao Huang,1308.8,1279.6,1264.4,1354.4
Pedro Sakamoto,1308.4,1268.0,1297.4,1354.2
