player,surface,period,spw,rpw,matches
Emma Raducanu,clay,52week,0.5290,0.4320,2
Emma Raducanu,grass,52week,0.5970,0.4770,13
Emma Raducanu,all,52week,0.5812,0.4506,47
Emma Raducanu,hard,career,0.5780,0.4460,110
Emma Raducanu,clay,career,0.5590,0.4450,28
Emma Raducanu,grass,career,0.5920,0.4620,31
Emma Raducanu,all,career,0.5774,0.4488,169
Ashlyn Krueger,hard,52week,0.5800,0.3990,22
Ashlyn Krueger,clay,52week,0.5380,0.4250,4
Ashlyn Krueger,grass,52week,0.5850,0.4520,6
Ashlyn Krueger,all,52week,0.5757,0.4122,32
Ashlyn Krueger,hard,career,0.5720,0.4090,87
Ashlyn Krueger,clay,career,0.5430,0.4490,20
Ashlyn Krueger,grass,career,0.5920,0.4140,16
Ashlyn Krueger,all,career,0.5699,0.4162,123
Magda Linette,hard,52week,0.5670,0.4040,32
Magda Linette,clay,52week,0.5440,0.3660,6
Magda Linette,grass,52week,0.6100,0.4290,5
Magda Linette,all,52week,0.5688,0.4016,43
Magda Linette,hard,career,0.5740,0.4230,329
Magda Linette,clay,career,0.5680,0.4310,102
Magda Linette,grass,career,0.5900,0.3900,50
Magda Linette,all,career,0.5744,0.4213,481
Caty Mcnally,hard,52week,0.5690,0.4320,25
Caty Mcnally,clay,52week,0.5350,0.4780,11
Caty Mcnally,grass,52week,0.5750,0.4440,12
Caty Mcnally,all,52week,0.5627,0.4455,48
Caty Mcnally,hard,career,0.5480,0.4340,72
Caty Mcnally,clay,career,0.5360,0.4510,25
Caty Mcnally,grass,career,0.5690,0.4410,27
Caty Mcnally,all,career,0.5502,0.4390,124
Jaqueline Cristian,hard,52week,0.5630,0.4180,34
Jaqueline Cristian,clay,52week,0.5840,0.4370,15
Jaqueline Cristian,grass,52week,0.5920,0.3260,4
Jaqueline Cristian,all,52week,0.5711,0.4164,53
Jaqueline Cristian,hard,career,0.5640,0.4160,112
Jaqueline Cristian,clay,career,0.5710,0.4470,61
Jaqueline Cristian,grass,career,0.5440,0.3360,10
Jaqueline Cristian,all,career,0.5652,0.4220,183
Taylor Townsend,hard,52week,0.6290,0.4320,20
Taylor Townsend,clay,52week,0.5820,0.4170,5
Taylor Townsend,grass,52week,0.5370,0.3560,2
Taylor Townsend,all,52week,0.6135,0.4236,27
Taylor Townsend,hard,career,0.5890,0.4070,111
Taylor Townsend,clay,career,0.5660,0.4140,34
Taylor Townsend,grass,career,0.5640,0.3770,9
Taylor Townsend,all,career,0.5825,0.4068,154
Maria Sakkari,hard,52week,0.5810,0.4380,34
Maria Sakkari,clay,52week,0.5360,0.3690,8
Maria Sakkari,grass,52week,0.5820,0.3470,5
Maria Sakkari,all,52week,0.5734,0.4166,47
Maria Sakkari,hard,career,0.5810,0.4320,317
Maria Sakkari,clay,career,0.5740,0.4530,124
Maria Sakkari,grass,career,0.6010,0.4130,56
Maria Sakkari,all,career,0.5815,0.4351,497
Olga Danilovic,hard,52week,0.5610,0.3990,19
Olga Danilovic,clay,52week,0.5730,0.4370,12
Olga Danilovic,grass,52week,0.6010,0.3640,4
Olga Danilovic,all,52week,0.5697,0.4080,35
Olga Danilovic,hard,career,0.5690,0.4080,54
Olga Danilovic,clay,career,0.5600,0.4550,51
Olga Danilovic,grass,career,0.5900,0.3490,5
Olga Danilovic,all,career,0.5658,0.4271,110
Mccartney Kessler,hard,52week,0.5690,0.4300,29
Mccartney Kessler,clay,52week,0.5630,0.4500,9
Mccartney Kessler,grass,52week,0.5590,0.4260,8
Mccartney Kessler,all,52week,0.5661,0.4332,46
Mccartney Kessler,hard,career,0.5730,0.4340,68
Mccartney Kessler,clay,career,0.5210,0.4350,15
Mccartney Kessler,grass,career,0.5890,0.4270,16
Mccartney Kessler,all,career,0.5677,0.4330,99
Katie Boulter,hard,52week,0.5590,0.4470,28
Katie Boulter,clay,52week,0.5570,0.4480,9
Katie Boulter,grass,52week,0.5820,0.3820,8
Katie Boulter,all,52week,0.5627,0.4356,45
Katie Boulter,hard,career,0.5790,0.4300,132
Katie Boulter,clay,career,0.5520,0.4250,18
Katie Boulter,grass,career,0.5960,0.4100,58
Katie Boulter,all,career,0.5814,0.4240,208
Maja Chwalinska,hard,52week,0.5680,0.4390,3
Maja Chwalinska,clay,52week,0.5720,0.4290,9
Maja Chwalinska,grass,52week,0.5270,0.4350,1
Maja Chwalinska,all,52week,0.5676,0.4318,13
Maja Chwalinska,hard,career,0.5050,0.4340,7
Maja Chwalinska,clay,career,0.5560,0.4330,12
Maja Chwalinska,grass,career,0.5500,0.4210,3
Maja Chwalinska,all,career,0.5390,0.4317,22
Anhelina Kalinina,hard,52week,0.5230,0.3210,1
Anhelina Kalinina,clay,52week,0.5400,0.4920,13
Anhelina Kalinina,grass,52week,0.5530,0.4210,3
Anhelina Kalinina,all,52week,0.5413,0.4694,17
Anhelina Kalinina,hard,career,0.5470,0.4350,113
Anhelina Kalinina,clay,career,0.5470,0.4640,68
Anhelina Kalinina,grass,career,0.5660,0.4120,24
Anhelina Kalinina,all,career,0.5492,0.4419,205
Nikola Bartunkova,hard,52week,0.5590,0.4300,14
Nikola Bartunkova,clay,52week,0.5620,0.4000,4
Nikola Bartunkova,grass,52week,0.5920,0.4410,7
Nikola Bartunkova,all,52week,0.5687,0.4283,25
Nikola Bartunkova,hard,career,0.5610,0.4310,16
Nikola Bartunkova,clay,career,0.5290,0.3950,5
Nikola Bartunkova,grass,career,0.5920,0.4410,7
Nikola Bartunkova,all,career,0.5630,0.4271,28
Varvara Gracheva,hard,52week,0.5380,0.4150,22
Varvara Gracheva,clay,52week,0.5430,0.4220,10
Varvara Gracheva,grass,52week,0.5500,0.4610,4
Varvara Gracheva,all,52week,0.5407,0.4221,36
Varvara Gracheva,hard,career,0.5470,0.4240,135
Varvara Gracheva,clay,career,0.5430,0.4190,54
Varvara Gracheva,grass,career,0.5690,0.4410,14
Varvara Gracheva,all,career,0.5475,0.4238,203
Paula Badosa,hard,52week,0.5650,0.4120,14
Paula Badosa,clay,52week,0.5460,0.4700,10
Paula Badosa,grass,52week,0.5910,0.3840,5
Paula Badosa,all,52week,0.5629,0.4272,29
Paula Badosa,hard,career,0.5920,0.4350,169
Paula Badosa,clay,career,0.5820,0.4590,93
Paula Badosa,grass,career,0.5910,0.4190,34
Paula Badosa,all,career,0.5887,0.4407,296
Camila Osorio,hard,52week,0.5540,0.4390,27
Camila Osorio,clay,52week,0.5520,0.5060,10
Camila Osorio,grass,52week,0.5770,0.4120,3
Camila Osorio,all,52week,0.5552,0.4537,40
Camila Osorio,hard,career,0.5440,0.4470,105
Camila Osorio,clay,career,0.5400,0.4850,86
