player,surface,period,spw,rpw,matches
Cameron Norrie,clay,52week,0.6100,0.3630,11
Cameron Norrie,grass,52week,0.6130,0.3210,2
Cameron Norrie,all,52week,0.6488,0.3622,54
Cameron Norrie,hard,career,0.6410,0.3770,285
Cameron Norrie,clay,career,0.6180,0.3940,124
Cameron Norrie,grass,career,0.6520,0.3450,50
Cameron Norrie,all,career,0.6360,0.3781,459
Arthur Fery,hard,52week,0.5940,0.3500,5
Arthur Fery,grass,52week,0.6380,0.3850,13
Arthur Fery,all,52week,0.6258,0.3753,18
Arthur Fery,hard,career,0.5940,0.3500,5
Arthur Fery,grass,career,0.6270,0.3820,15
Arthur Fery,all,career,0.6188,0.3740,20
Roman Safiullin,hard,52week,0.6340,0.3530,7
Roman Safiullin,grass,52week,0.6730,0.3570,6
Roman Safiullin,all,52week,0.6520,0.3548,13
Roman Safiullin,hard,career,0.6440,0.3650,90
Roman Safiullin,clay,career,0.6240,0.3530,22
Roman Safiullin,grass,career,0.6810,0.3590,22
Roman Safiullin,all,career,0.6468,0.3620,134
Gael Monfils,hard,52week,0.6320,0.3540,9
Gael Monfils,clay,52week,0.6110,0.3730,4
Gael Monfils,all,52week,0.6255,0.3598,13
Gael Monfils,hard,career,0.6500,0.3800,615
Gael Monfils,clay,career,0.6160,0.4000,244
Gael Monfils,grass,career,0.6670,0.3500,84
Gael Monfils,all,career,0.6427,0.3825,943
Ignacio Buse,hard,52week,0.6130,0.2960,2
Ignacio Buse,clay,52week,0.6270,0.3770,27
Ignacio Buse,grass,52week,0.6260,0.3440,6
Ignacio Buse,all,52week,0.6260,0.3667,35
Ignacio Buse,hard,career,0.6140,0.3260,5
Ignacio Buse,clay,career,0.6240,0.3760,34
Ignacio Buse,grass,career,0.6260,0.3440,6
Ignacio Buse,all,career,0.6232,0.3662,45
Kamil Majchrzak,hard,52week,0.6360,0.3630,28
Kamil Majchrzak,clay,52week,0.6330,0.3410,4
Kamil Majchrzak,grass,52week,0.6840,0.3680,8
Kamil Majchrzak,all,52week,0.6453,0.3618,40
Kamil Majchrzak,hard,career,0.6350,0.3600,78
Kamil Majchrzak,clay,career,0.6120,0.3710,29
Kamil Majchrzak,grass,career,0.6720,0.3530,19
Kamil Majchrzak,all,career,0.6353,0.3615,126
Daniel Merida Aguilar,hard,52week,0.5710,0.2550,2
Daniel Merida Aguilar,clay,52week,0.6110,0.4260,16
Daniel Merida Aguilar,grass,52week,0.5940,0.3890,2
Daniel Merida Aguilar,all,52week,0.6053,0.4052,20
Daniel Merida Aguilar,hard,career,0.5710,0.2550,2
Daniel Merida Aguilar,clay,career,0.6110,0.4260,16
Daniel Merida Aguilar,grass,career,0.5940,0.3890,2
Daniel Merida Aguilar,all,career,0.6053,0.4052,20
Matteo Arnaldi,hard,52week,0.6210,0.3190,13
Matteo Arnaldi,clay,52week,0.6020,0.3680,13
Matteo Arnaldi,grass,52week,0.5740,0.3140,2
Matteo Arnaldi,all,52week,0.6088,0.3414,28
Matteo Arnaldi,hard,career,0.6300,0.3550,88
Matteo Arnaldi,clay,career,0.6050,0.3840,57
Matteo Arnaldi,grass,career,0.6180,0.3120,8
Matteo Arnaldi,all,career,0.6201,0.3636,153
Marin Cilic,hard,52week,0.6780,0.3210,24
Marin Cilic,clay,52week,0.6320,0.3570,10
Marin Cilic,grass,52week,0.5960,0.3400,5
Marin Cilic,all,52week,0.6557,0.3327,39
Marin Cilic,hard,career,0.6630,0.3730,610
Marin Cilic,clay,career,0.6440,0.3940,240
Marin Cilic,grass,career,0.6900,0.3560,123
Marin Cilic,all,career,0.6617,0.3760,973
Eliot Spizzirri,hard,52week,0.6750,0.3830,15
Eliot Spizzirri,all,52week,0.6750,0.3830,15
Eliot Spizzirri,hard,career,0.6580,0.3820,18
Eliot Spizzirri,grass,career,0.5880,0.3530,3
Eliot Spizzirri,all,career,0.6480,0.3779,21
Tomas Martin Etcheverry,hard,52week,0.6690,0.3440,28
Tomas Martin Etcheverry,clay,52week,0.6570,0.3630,28
Tomas Martin Etcheverry,grass,52week,0.6500,0.2580,3
Tomas Martin Etcheverry,all,52week,0.6623,0.3486,59
Tomas Martin Etcheverry,hard,career,0.6480,0.3480,97
Tomas Martin Etcheverry,clay,career,0.6370,0.3810,119
