player,elo,hElo,cElo,gElo
Barbora Palicova,1443.5,1368.0,1446.0,1400.5
Sakura Hosogi,1443.4,1432.6,1316.8,1396.7
Lea Ma,1443.0,1417.7,1331.6,1393.1
Lizette Cabrera,1441.1,1407.9,1341.5,1428.5
Chloe Paquet,1440.7,1412.3,1413.4,1350.0
Amandine Monnot,1439.7,1443.5,1369.0,1394.8
Amandine Hesse,1437.4,1415.8,1384.6,1335.2
Elena Micic,1436.3,1416.0,1303.0,1393.1
Despina Papamichail,1435.1,1383.9,1406.7,1397.7
Angela Fita Boluda,1434.5,1283.1,1415.9,1361.8
Sara Saito,1432.2,1432.4,1362.7,1313.5
Katrina Scott,1429.7,1391.7,1452.0,1328.0
Samira De Stefano,1429.2,1396.3,1324.5,1389.6
Eva Bennemann,1426.6,1450.6,1361.5,1388.3
Cadence Brace,1426.4,1425.0,1249.3,1327.3
Ayana Akli,1425.4,1430.0,1343.6,1359.2
Mei Yamaguchi,1424.6,1397.2,1303.9,1355.9
Lea Boskovic,1424.1,1367.7,1404.3,1421.9
Aneta Kladivova,1424.0,1356.1,1414.7,1387.0
Matilde Jorge,1423.8,1430.1,1299.1,1386.9
Ekaterina Reyngold,1423.0,1431.1,1362.7,1386.5
Noemi Basiletti,1422.5,1263.7,1388.7,1386.2
Kristina Mladenovic,1422.4,1407.8,1370.7,1418.0
Hong Yi Cody Wong,1422.4,1390.3,1342.1,1386.2
Xinxin Yao,1422.0,1425.9,1339.8,1386.0
Kylie Collins,1418.8,1398.5,1332.7,1394.2
Lisa Zaar,1417.5,1339.2,1376.3,1383.8
Anna Kubareva,1417.1,1405.6,1295.9,1383.6
Elena Ruxandra Bertea,1416.8,1307.5,1393.5,1383.4
Mina Hodzic,1414.7,1389.9,1380.6,1364.4
Miho Kuramochi,1413.7,1398.0,1321.9,1379.7
Ena Shibahara,1411.7,1385.2,1437.2,1394.7
Haruka Kaji,1408.7,1394.4,1330.5,1416.9
Yelyzaveta Kotliar,1408.5,1319.3,1391.4,1379.3
Selena Janicijevic,1405.5,1337.3,1385.9,1396.5
Deborah Chiesa,1405.3,1297.5,1403.2,1348.8
Zhibek Kulambayeva,1405.0,1268.2,1390.7,1377.5
Ena Koike,1404.2,1386.6,1301.3,1377.1
Ane Mintegi Del Olmo,1403.3,1384.6,1369.0,1376.7
Tina Nadine Smith,1401.1,1388.2,1363.1,1375.5
Caroline Uebelhoer,1400.6,1338.3,1378.2,1382.6
Naiktha Bains,1400.4,1397.2,1330.6,1283.0
Jenny Lim,1398.7,1310.6,1375.2,1374.4
Nuria Parrizas Diaz,1398.1,1399.5,1393.7,1351.8
Julie Belgraver,1397.4,1341.9,1370.1,1373.7
Sijia Wei,1396.9,1396.0,1281.2,1347.8
Aurora Zantedeschi,1395.9,1228.6,1383.1,1372.9
Kathinka Von Deichmann,1392.9,1404.4,1345.9,1350.4
Yufei Ren,1392.7,1344.3,1384.5,1371.4
Martina Capurro Taborda,1392.6,1303.1,1377.7,1403.3
Amarissa Kiara Toth,1390.4,1364.2,1369.1,1370.2
Kyoka Okamura,1390.0,1345.1,1299.9,1458.2
Ipek Oz,1389.3,1353.4,1368.2,1338.6
Ylena In Albon,1388.9,1311.7,1371.4,1360.1
Julia Stusek,1387.5,1320.6,1343.4,1335.2
Eryn Cayetano,1385.7,1373.7,1261.3,1367.9
Dalila Jakupovic,1385.7,1370.5,1351.3,1329.3
Su Jeong Jang,1383.6,1354.5,1414.0,1333.3
Yuki Naito,1383.3,1386.3,1271.9,1336.1
Malaika Rapolu,1382.4,1365.5,1308.6,1366.2
Hiromi Abe,1380.7,1360.8,1305.3,1365.3
Maria Sara Popa,1380.6,1257.9,1356.9,1365.3
Yuriko Miyazaki,1380.2,1366.4,1252.5,1337.6
Lidia Encheva,1375.9,1341.1,1316.9,1363.0
Sofya Lansere,1375.3,1397.5,1291.8,1362.7
Lucija Ciric Bagaric,1375.3,1267.3,1368.5,1338.4
Gabriela Lee,1374.6,1280.0,1378.8,1295.0
Justina Mikulskyte,1372.6,1357.2,1347.4,1320.6
Yidi Yang,1372.0,1367.9,1284.6,1361.0
Daria Khomutsianskaya,1371.6,1357.7,1300.8,1360.8
